SCHOOL_YEAR	DATA_LEVEL	PUBLIC_OR_INDEPENDENT	DISTRICT_NUMBER	DISTRICT_NAME	SCHOOL_NUMBER	SCHOOL_NAME	EXAM_SUBJECT	GRADE	NUMBER_OF_EXAM_WRITERS	NUMBER_OF_C_MINUS_OR_BETTER	PERCENT_OF_C_MINUS_OR_BETTER
2010/2011	SCHOOL LEVEL	BC Public School	036	Surrey	03636105	Earl Marriott Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	036	Surrey	03636141	Fraser Heights Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	036	Surrey	03636248	Kwantlen Park Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	038	Richmond	03838045	Steveston-London Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	039	Vancouver	03939011	Vancouver Technical Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	040	New Westminster	04040008	New Westminster Secondary	Geology 12	12	14	14	100
2010/2011	SCHOOL LEVEL	BC Public School	041	Burnaby	04141062	Burnaby South Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343080	Dr. Charles Best Secondary School	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343125	Gleneagle Secondary School	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343136	Terry Fox Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444012	Sutherland Secondary	Geology 12	12	15	12	80
2010/2011	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444022	Argyle Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	045	West Vancouver	04545010	Sentinel Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	045	West Vancouver	04545015	West Vancouver Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	048	Sea to Sky	04848004	Howe Sound Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	057	Prince George	05757036	Prince George Secondary School	Geology 12	12	12	10	83
2010/2011	SCHOOL LEVEL	BC Public School	071	Comox Valley	07171040	Georges P Vanier Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	083	North Okanagan-Shuswap	08383035	Salmon Arm Secondary	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996002	St George's School	Geology 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04396629	Archbishop Carney Secondary	Geology 12	12	Msk	Msk	Msk
