SCHOOL_YEAR	DATA_LEVEL	PUBLIC_OR_INDEPENDENT	DISTRICT_NUMBER	DISTRICT_NAME	SCHOOL_NUMBER	SCHOOL_NAME	EXAM_SUBJECT	GRADE	NUMBER_OF_EXAM_WRITERS	NUMBER_OF_C_MINUS_OR_BETTER	PERCENT_OF_C_MINUS_OR_BETTER
2010/2011	SCHOOL LEVEL	BC Public School	051	Boundary	05113010	Boundary Central Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	052	Prince Rupert	05252009	Prince Rupert Secondary	Principles Of Mathematics 12	12	39	26	67
2010/2011	SCHOOL LEVEL	BC Public School	052	Prince Rupert	05252018	Charles Hays Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	053	Okanagan Similkameen	05314001	Southern Okanagan Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	053	Okanagan Similkameen	05314008	Osoyoos Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	053	Okanagan Similkameen	05316004	Similkameen Elem-Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	054	Bulkley Valley	05454011	Houston Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	054	Bulkley Valley	05454013	Smithers Secondary	Principles Of Mathematics 12	12	46	45	98
2010/2011	SCHOOL LEVEL	BC Public School	057	Prince George	05757012	Duchess Park Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	057	Prince George	05757036	Prince George Secondary School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	057	Prince George	05757047	Kelly Road Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	057	Prince George	05757100	D P Todd Secondary	Principles Of Mathematics 12	12	14	14	100
2010/2011	SCHOOL LEVEL	BC Public School	057	Prince George	05757101	College Heights Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	058	Nicola-Similkameen	05817008	Princeton Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	058	Nicola-Similkameen	05831005	Merritt Secondary	Principles Of Mathematics 12	12	25	19	76
2010/2011	SCHOOL LEVEL	BC Public School	059	Peace River South	05959008	Dawson Creek Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	060	Peace River North	06060015	North Peace Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	060	Peace River North	06060060	Hudson's Hope School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	061	Greater Victoria	06161000	Continuing Ed SD 61	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	061	Greater Victoria	06161018	Victoria High School	Principles Of Mathematics 12	12	34	25	74
2010/2011	SCHOOL LEVEL	BC Public School	061	Greater Victoria	06161024	Oak Bay Secondary	Principles Of Mathematics 12	12	44	43	98
2010/2011	SCHOOL LEVEL	BC Public School	061	Greater Victoria	06161048	Esquimalt High School	Principles Of Mathematics 12	12	18	16	89
2010/2011	SCHOOL LEVEL	BC Public School	061	Greater Victoria	06161049	Mount Douglas Secondary	Principles Of Mathematics 12	12	116	112	97
2010/2011	SCHOOL LEVEL	BC Public School	061	Greater Victoria	06161057	Reynolds Secondary	Principles Of Mathematics 12	12	31	31	100
2010/2011	SCHOOL LEVEL	BC Public School	061	Greater Victoria	06161063	Spectrum Community	Principles Of Mathematics 12	12	10	9	90
2010/2011	SCHOOL LEVEL	BC Public School	061	Greater Victoria	06161064	Lambrick Park Secondary	Principles Of Mathematics 12	12	25	24	96
2010/2011	SCHOOL LEVEL	BC Public School	062	Sooke	06262013	Belmont Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	062	Sooke	06299043	Byte Alternate Program	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	063	Saanich	06363020	Stelly's Secondary School	Principles Of Mathematics 12	12	22	22	100
2010/2011	SCHOOL LEVEL	BC Public School	063	Saanich	06363021	Claremont Secondary School	Principles Of Mathematics 12	12	74	72	97
2010/2011	SCHOOL LEVEL	BC Public School	063	Saanich	06363022	Parkland Secondary School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	063	Saanich	06398007	South Island Distance Education School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	064	Gulf Islands	06464010	Gulf Islands Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	067	Okanagan Skaha	06715002	Penticton Secondary	Principles Of Mathematics 12	12	93	88	95
2010/2011	SCHOOL LEVEL	BC Public School	067	Okanagan Skaha	06715008	Princess Margaret Secondary	Principles Of Mathematics 12	12	42	39	93
2010/2011	SCHOOL LEVEL	BC Public School	067	Okanagan Skaha	06777002	Summerland Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	068	Nanaimo-Ladysmith	06868001	Nanaimo District Secondary	Principles Of Mathematics 12	12	19	19	100
2010/2011	SCHOOL LEVEL	BC Public School	068	Nanaimo-Ladysmith	06868002	Ladysmith Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	068	Nanaimo-Ladysmith	06868010	Dover Bay Secondary	Principles Of Mathematics 12	12	52	50	96
2010/2011	SCHOOL LEVEL	BC Public School	068	Nanaimo-Ladysmith	06868011	John Barsby Community School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	068	Nanaimo-Ladysmith	06868013	Woodlands Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	068	Nanaimo-Ladysmith	06868015	Wellington Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	069	Qualicum	06969012	Ecole Secondaire Ballenas Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	069	Qualicum	06969014	Kwalikum Secondary	Principles Of Mathematics 12	12	11	11	100
2010/2011	SCHOOL LEVEL	BC Public School	069	Qualicum	06999094	Collaborative Education Alternative Prg.	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	070	Alberni	07070001	Alberni District Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	070	Alberni	07070005	Ucluelet Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	071	Comox Valley	07171040	Georges P Vanier Secondary	Principles Of Mathematics 12	12	28	26	93
2010/2011	SCHOOL LEVEL	BC Public School	071	Comox Valley	07171041	Highland Secondary	Principles Of Mathematics 12	12	42	32	76
2010/2011	SCHOOL LEVEL	BC Public School	071	Comox Valley	07171054	Mark R. Isfeld Senior Secondary	Principles Of Mathematics 12	12	57	51	89
2010/2011	SCHOOL LEVEL	BC Public School	072	Campbell River	07272000	Continuing Ed SD 72	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	072	Campbell River	07272010	Carihi Secondary	Principles Of Mathematics 12	12	25	24	96
2010/2011	SCHOOL LEVEL	BC Public School	072	Campbell River	07272012	Timberline Secondary School	Principles Of Mathematics 12	12	70	58	83
2010/2011	SCHOOL LEVEL	BC Public School	073	Kamloops/Thompson	07324012	South Kamloops Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	073	Kamloops/Thompson	07324044	Nor Kam Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	073	Kamloops/Thompson	07324045	Valleyview Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	073	Kamloops/Thompson	07324055	Westsyde Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	073	Kamloops/Thompson	07324057	Sa-hali Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	073	Kamloops/Thompson	07326005	Clearwater Secondary School	Principles Of Mathematics 12	12	10	9	90
2010/2011	SCHOOL LEVEL	BC Public School	073	Kamloops/Thompson	07399103	@ KOOL	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	074	Gold Trail	07429015	Lillooet Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	074	Gold Trail	07430016	Ashcroft Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	075	Mission	07575014	Mission Secondary	Principles Of Mathematics 12	12	13	13	100
2010/2011	SCHOOL LEVEL	BC Public School	075	Mission	07575022	Hatzic Secondary School	Principles Of Mathematics 12	12	28	27	96
2010/2011	SCHOOL LEVEL	BC Public School	075	Mission	07575033	Heritage Park Secondary	Principles Of Mathematics 12	12	32	31	97
2010/2011	SCHOOL LEVEL	BC Public School	078	Fraser-Cascade	07832003	Hope Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	079	Cowichan Valley	07965009	Cowichan Secondary	Principles Of Mathematics 12	12	17	15	88
2010/2011	SCHOOL LEVEL	BC Public School	079	Cowichan Valley	07965033	Chemainus Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	079	Cowichan Valley	07965039	Frances Kelsey Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	082	Coast Mountains	08280002	Mount Elizabeth Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	082	Coast Mountains	08288006	Hazelton Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	082	Coast Mountains	08288024	Caledonia Sr Secondary	Principles Of Mathematics 12	12	15	15	100
2010/2011	SCHOOL LEVEL	BC Public School	083	North Okanagan-Shuswap	08321004	Pleasant Valley Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	083	North Okanagan-Shuswap	08383035	Salmon Arm Secondary	Principles Of Mathematics 12	12	12	12	100
2010/2011	SCHOOL LEVEL	BC Public School	083	North Okanagan-Shuswap	08399132	Educational Outreach Program	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	085	Vancouver Island North	08585018	North Island Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	091	Nechako Lakes	09156008	Nechako Valley Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	093	Conseil scolaire francophone	09344004	Ecole Andre Piolat	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	093	Conseil scolaire francophone	09346017	Chatelech Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	093	Conseil scolaire francophone	09347021	Brooks Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	093	Conseil scolaire francophone	09357012	Duchess Park Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	093	Conseil scolaire francophone	09361060	l'ecole Victor Brodeur	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	093	Conseil scolaire francophone	09372010	Ecole Carihi	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Public School	093	Conseil scolaire francophone	09393004	Penticton Secondary School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			00596715	Fernie Academy	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			02296261	Vernon Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			02396013	Immaculata Regional High School	Principles Of Mathematics 12	12	36	31	86
2010/2011	SCHOOL LEVEL	BC Independent School			02396281	Kelowna Christian School	Principles Of Mathematics 12	12	18	17	94
2010/2011	SCHOOL LEVEL	BC Independent School			02396479	Heritage Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			02396738	Heritage Christian Online School (DL)	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03396209	Timothy Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03396251	Highroad Academy	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03396354	Mount Cheam Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03496020	Mennonite Educational Institute	Principles Of Mathematics 12	12	55	52	95
2010/2011	SCHOOL LEVEL	BC Independent School			03496069	Abbotsford Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03496595	St John Brebeuf	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03596289	Credo Christian Schools	Principles Of Mathematics 12	12	18	11	61
2010/2011	SCHOOL LEVEL	BC Independent School			03596311	Langley Christian	Principles Of Mathematics 12	12	24	21	88
2010/2011	SCHOOL LEVEL	BC Independent School			03596376	King's School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03696015	Fraser Valley Christian High	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03696166	Holy Cross Regional High School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03696266	Surrey Christian	Principles Of Mathematics 12	12	15	15	100
2010/2011	SCHOOL LEVEL	BC Independent School			03696309	White Rock Christian Academy	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03696394	Pacific Academy	Principles Of Mathematics 12	12	32	26	81
2010/2011	SCHOOL LEVEL	BC Independent School			03696610	Southridge School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03796694	Southpointe Academy	Principles Of Mathematics 12	12	24	18	75
2010/2011	SCHOOL LEVEL	BC Independent School			03896178	Richmond Christian School	Principles Of Mathematics 12	12	20	20	100
2010/2011	SCHOOL LEVEL	BC Independent School			03996002	St George's School	Principles Of Mathematics 12	12	20	19	95
2010/2011	SCHOOL LEVEL	BC Independent School			03996004	Crofton House	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996007	Vancouver College	Principles Of Mathematics 12	12	27	27	100
2010/2011	SCHOOL LEVEL	BC Independent School			03996011	York House School	Principles Of Mathematics 12	12	19	19	100
2010/2011	SCHOOL LEVEL	BC Independent School			03996019	Little Flower Academy	Principles Of Mathematics 12	12	28	28	100
2010/2011	SCHOOL LEVEL	BC Independent School			03996022	Notre Dame Regional Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996030	St Patrick Regional Secondary	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996319	Columbia College	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996435	St John's School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996451	King David High School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996527	St John's International	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996538	Royal Canadian College	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996645	West Point Grey Academy	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996659	Century High School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996732	Pacific Torah Institute	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996733	Pattison High School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			03996805	Pacific Torah Institute International	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04196031	St Thomas More Collegiate	Principles Of Mathematics 12	12	29	29	100
2010/2011	SCHOOL LEVEL	BC Independent School			04196766	Carver Christian High School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04296099	Maple Ridge Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04296400	Meadowridge School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04396349	Coquitlam College	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04396588	Traditional Learning Academy	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04396629	Archbishop Carney Secondary	Principles Of Mathematics 12	12	26	26	100
2010/2011	SCHOOL LEVEL	BC Independent School			04496062	St Thomas Aquinas	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04496551	Bodwell High School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			04596367	Collingwood School	Principles Of Mathematics 12	12	38	38	100
2010/2011	SCHOOL LEVEL	BC Independent School			05496124	Bulkley Valley Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			05796230	Cedars Christian School	Principles Of Mathematics 12	12	10	9	90
2010/2011	SCHOOL LEVEL	BC Independent School			05796491	Westside Academy	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			06096473	Christian Life School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			06196008	St Michaels University School - Senior	Principles Of Mathematics 12	12	12	12	100
2010/2011	SCHOOL LEVEL	BC Independent School			06196010	St Margaret's	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			06196021	Glenlyon Norfolk School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			06196084	Pacific Christian School	Principles Of Mathematics 12	12	21	20	95
2010/2011	SCHOOL LEVEL	BC Independent School			06196341	St Andrew's Regional High	Principles Of Mathematics 12	12	34	33	97
2010/2011	SCHOOL LEVEL	BC Independent School			06896256	Nanaimo Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			06896650	Malaspina International High School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			07296335	Campbell River Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			07396194	St Ann's Academy	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			07596034	Seminary of Christ the King	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			07996005	Brentwood College	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			07996006	Shawnigan Lake	Principles Of Mathematics 12	12	28	27	96
2010/2011	SCHOOL LEVEL	BC Independent School			07996086	Duncan Christian School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			07996680	Island Oak High School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			07996812	Dwight International School	Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	SCHOOL LEVEL	BC Independent School			08396240	King's Christian School	Principles Of Mathematics 12	12	21	13	62
2010/2011	SCHOOL LEVEL	BC Independent School			08396714	Christian Homelearners eStreams	Principles Of Mathematics 12	12	Msk	Msk	Msk
